"如何透過交易系統全額線上預繳股票? 交割銀行若為中國信託，請您至臨櫃簽署「預收款轉撥同意書」，簽署完成後即可進行線上預繳。
請登入各交易平台的「E服務」>全額線上預繳，操作說明如下：
1.e 統金：首頁 >主選單【E服務】>全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
2.金贏島：點選左下方選單【交易/帳務】>統合e網 >點選下拉選單內的【E服務】>查詢 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
4.e指發APP(新版)：首頁 >功能總覽> 交易類「 全額預繳」 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
※可執行全額預繳時間：交易日8:00-14:30。",,,
"如何透過交易系統線上股票圈存? 請登入各交易平台的「E服務」線上股票圈存，操作說明如下：
1.e統金：點選主選單【E服務】>線上股票圈存>下一步 >輸入股票代號>輸入圈存股數股>確定圈存。
2.金贏島：點選左下方【交易/帳務】>統合e網>點選下拉選單內的【E服務】>查詢>線上股票圈存>下一步 >輸入股票代號>輸入圈存股數股>確定圈存。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >線上股票圈存 >下一步 >輸入股票代號 >輸入圈存股數股 >確定圈存。
4.e指發APP(新版)：首頁 >功能總覽> 交易類「 股票圈存」 >下一步 >輸入股票代號 >輸入圈存股數股>確定圈存。
※線上可圈存時間：交易日8:00-14:30。",,,
"如何透過交易系統線上參與公開收購? 請登入各交易平台的「E服務」線上公開收購，操作說明如下：
1.e統金：點選主選單【E服務】>線上公開收購>下一步>線上公開收購>下一步>申購 >輸入收購數量>確定申購。
2.金贏島：點選左下方【交易/帳務】>統合e網>點選下拉選單內的【E服務】>查詢>線上公開收購>下一步>申購 >輸入收購數量>確定申購。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >線上公開收購 >下一步 >申購 >輸入收購數量>確定申購。
4.e指發APP(新版)：首頁 >功能總覽 >服務類 公開收購 >線上公開收購 >下一步 >申購 >輸入收購數量 >確定申購。
※E服務線上收購服務時間：交易日8:00-14:30。",,,
"如何新增或變更基本資料? 基本資料變更包含：通知及e存摺信箱、行動電話、通訊電話、通訊地址、電子對帳單信箱及公司電話等項目。
請登入各交易平台的「E服務」基本資料變更，操作說明如下：
一、電腦：
1. e統金
    https://tinyurl.com/4yttntnu
   首頁>請點選主選單【E服務】>基本資料變更
2.金贏島
   登入後請點選左下方【交易/帳務】>統合e網>下拉選單選擇【E服務】>查詢>基本資料變更
3.手機/平板
   e指發APP(舊版) >首頁 >【統一專區】>E服務>基本資料變更
   e指發APP(新版) >首頁 >我的 >帳戶管理 >基本資料變更

※當日14:30前變更完成，次交易日8:00生效；14:30後變更完成，次二交易日8:00生效。",,,
開立數位帳戶後，還可以在統一證券開立帳戶嗎？ 可以的，統一證券總公司以外之其他分公司皆可開立統一證券「一般帳戶」,,,
"如何在看盤系統新增多帳號 一、電腦：
1、金贏島：主選單「功能」>「下單設定」>「多帳號設定」。
2、金好探：設定>系統設定>下單設定>帳號管理。
3、e指發APP(舊版)：
     3-1. IOS系統
     首頁 >「交易功能」>「帳號管理」>「編輯」>「＋」符號 >
     輸入分公司別/7碼帳號/語音密碼 >新增 >右上方「完成」>左上方「關閉」。
     3-2. Android系統
      首頁 >「帳務查詢」>「帳號管理」>「帳號編輯」>「加入帳號」>
      輸入分公司別/7碼帳號/語音密碼>登入>確定>右上方「完成」。
4、e指發APP(新版)：
      首頁 > 交易 >「帳號管理」>「編輯」或「帳號編輯」>「＋」或「加入帳號」>
      輸入分公司別/7碼帳號/語音密碼>登入>確定>右上方「完成」。",,,
"什麼是自選股的上傳與下載 「雲端自選股」提供了自選股的上傳及下載，
在使用不同電腦、或不同電子交易平台時，可同?更新自選股群：
上傳：將本機自選股商品上傳至雲端資料庫
下載：從雲端資料庫下載自選股群組，本機自選股群組將被覆蓋更新。
雲端可設定６個群組每群組可設定60檔商品。
上傳雲端之後，其它系統若要同步更新，請使用帳號登入。",,,
"統一投信電話 統一投信的官網：
https://www.ezmoney.com.tw/
或請致電統一投信總機02-27478388",,,
"官網網址 一、【證券官網】
https://www.pscnet.com.tw/pscnetStock/index.do
二、【數位帳戶官網】
https://digital.pscnet.com.tw/index.html
三、【投顧官網】
https://www.pscnet.com.tw/pscnetInvestmentAdvisor/index.do
四、【財富管理官網】
https://nwmtrade.pscnet.com.tw/
五、【複委託官網】
https://www.pscnet.com.tw/pscnetForeign/index.do",,,
"統一證券官網 請點選下方連結進入【統一綜合證券官網】
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"證券語音下單專線 證券405語音播報按鍵下單系統：
全省統一代表號405-18188 手機撥打請加區碼
【語音下單操作說明】 
https://tinyurl.com/mr2stzum
功能說明：
一、提供證券、興櫃報價與下單功能。
二、索取傳真方式：撥號話機要有傳真功能才能進行傳真。
三、全省採同一市話門號方式提供語音撥號入口，全省統一代表號405-18188手機撥打請加區碼。
四、因各發話區碼長度門號不同，405會依照各區的號碼長度不同，有不同的撥號方式，說明如下：
例：本公司門號為405181，於發話區不同分為
1.市話位於6碼地區用戶，可直撥405-181或02405-18188 與手機撥號方式相同。
2.市話位於7碼地區用戶，可直撥405-1818或02405-18188 與手機撥號方式相同。
3.市話位於8碼地區用戶，可直撥405-18188。
4.使用手機撥打請直撥02405-18188。

【相關說明點選下方連結進入證券官網>主選單「證券」>交易專區>平台介紹>405語音下單】
https://tinyurl.com/4den3vv7",,,
"統一期貨服務據點 【統一期貨服務據點】營業時間為交易日 8:00-16:30
https://www.pfcf.com.tw/about/detail/156",,,
"線上信用戶開戶/續約 所需條件與操作方式 一、線上開立信用戶條件：最近一年委託買賣上市櫃成交達十筆以上以及一年內交易金額達25萬以上。

二、線上續約條件：
1.信用戶未到期者；
2.融資/券額度需低於50萬元(含50萬)；
3.申請時間：信用戶到期日前60日內。

三、線上開戶/續約操作：
1.電腦操作：
請至官網信用戶線上續約：https://tinyurl.com/mr3tk56x
2. e 指發APP：
   舊版首頁 >統一專區 >信用戶開戶/續約 
   新版首頁 >我的 >信用戶開戶/續約 

注意事項：
1.線上申請待審核成功將寄送開戶成功通知至您留存的交易回報信箱
2.若有其他額度需求者，請洽所屬分公司櫃台辦理。",,,
e指發查詢基金可贖回單位數 e指發基金贖回轉換頁面提供各檔基金的「可贖回/轉換單位數」，可動用單位數為即時狀況，只要有贖回或轉換的在途交易，都會將在途單位扣除，只顯示即時可動用單位數。,,,
e指發基金已實現損益彙總與明細 已實現損益提供客戶彙總及明細兩種檢視模式，您可於彙整頁面查看精簡版的已實現損益彙總，想要進一步查詢任一標的之每筆申購的損益金額，請點選右方「明細」按鈕，進入明細功能即可看到該檔基金每筆贖回的損益金額及報酬率。,,,
e指發基金交易明細報酬率和損益金額 基金交易明細功能新增損益金額、含息報酬率、及不含息報酬率等三個欄位，進行贖回交易可以更方便檢視投資損益狀況。,,,
"e指發基金贖回自動出金 e指發APP(舊版)基金贖回自動出金：
1.首頁 > 交易功能或帳務查詢 >「基金」> 贖回/轉換 > 點選欲贖回的基金標的 >「贖回」
2.首頁 > 交易功能或帳務查詢 >「基金」> 基金-出金 > 選取自動出金並於下方「帳號資料」
   列點選欲出金的銀行帳戶即可設定 > 贖回單位數填寫後按確認送出 >
   確認畫面請檢查下方「贖回款入帳方式」是否符合上頁選取的出金帳戶，確認無誤後按下
   確認送出。
3. 委託後若需要取消，請至基金交易功能點選「5基金-委託查詢」進行刪單。
 
e指發APP(新版)基金贖回自動出金：
1.首頁 > 交易 >「基金」> 贖回/轉換 > 點選欲贖回的基金標的 >「贖回」
2.首頁 > 交易 >「基金」> 基金-出金 > 選取自動出金並於下方「帳號資料」
   列點選欲出金的銀行帳戶即可設定 > 贖回單位數填寫後按確認送出 >
   確認畫面請檢查下方「贖回款入帳方式」是否符合上頁選取的出金帳戶，確認無誤後按下
   確認送出。
3. 委託後若需要取消，請至基金交易功能點選「5基金-委託查詢」進行刪單。",,,
"e指發單筆指定贖回 e指發APP(舊版)單筆指定贖回：
1.首頁 >交易功能或帳務查詢 > 基金 >基金贖回/轉換 > 選擇查詢條件 >單筆申購 >選擇欲贖回基金 點選贖回
2.在贖回功能的「贖回方式」欄位點選「指定單位數贖回」進入指定贖回選單。
3. 進入選單後，點選欲贖回的單筆交易並於最右方欄位，輸入贖回單位數，再點選確認即可完成。
3. 進入確認畫面後，請再次核對資料無誤完成後，點選確認送出即可完成下單。
e指發APP(新版)單筆指定贖回：
1.首頁 >交易 > 基金 >基金贖回/轉換 > 選擇查詢條件 >單筆申購 >選擇欲贖回基金 點選贖回
2.在贖回功能的「贖回方式」欄位點選「指定單位數贖回」進入指定贖回選單。
3. 進入選單後，點選欲贖回的單筆交易並於最右方欄位，輸入贖回單位數，再點選確認即可完成。
3. 進入確認畫面後，請再次核對資料無誤完成後，點選確認送出即可完成下單。",,,
"e指發智慧單功能 e指發智慧單雲端智慧單：
提醒您需先簽署證券「設定交易條件下單申請暨風險預告書 」 與期貨「其他委託方式風險預告書暨使用同意書 」，簽署生效後，即可使用金贏島智慧下單功能。

一、智慧下單教學說明：
1.【「證券智慧單」期貨商品僅提供條件觸發通知，不能下單】教學網頁：
https://tinyurl.com/4m389uhe
2.「期權智慧單」：
【觸價單】教學頻道 ：
 https://tinyurl.com/376zw39w
【二擇一單】教學頻道：
 https://tinyurl.com/4s7a62s6

二、風險預告書簽署專區方式：
1. e指發APP(舊版)：
   首頁 > 統一專區>證券 >線上簽署 > 「設定交易條件下單申請暨風險預告書 」
   首頁 > 統一專區>期貨 >線上簽署 > 「其他委託方式風險預告書暨使用同意書 」
2. e指發APP(新版)：
   首頁 > 我的 > 證券線上簽署 > 「設定交易條件下單申請暨風險預告書 」
   首頁 > 我的 > 期貨線上簽署 > 「其他委託方式風險預告書暨使用同意書 」",,,
"e指發贖回清單篩選申購型態 e指發APP(舊版)贖回清單操作：
1.首頁 >交易功能或帳務查詢 > 基金 >基金贖回/轉換 > 選擇查詢條件 > 贖回清單可篩選「定期定額/單筆申購」，進入贖回/轉換功能頁面，使用上方「單筆申購」及「定期定額」按鈕篩選申購型態。
e指發APP(新版)贖回清單操作：
1.首頁 >交易 > 基金 >基金贖回/轉換 > 選擇查詢條件 > 贖回清單可篩選「定期定額/單筆申購」，進入贖回/轉換功能頁面，使用上方「單筆申購」及「定期定額」按鈕篩選申購型態。",,,
"e統金下單區出現「請重新登入，如果還是出現此畫面，請聯繫客服」? 1、Windows電腦：
      Chrome瀏覽器 >右上角「...」>設定 > 隱私權和安全性 > 清除瀏覽資料 > 不限時間 > 清除資料 ，若無法排除請更換瀏覽器。
      Edge瀏覽器 > 右上角「...」>設定 > 隱私權、搜尋與服務 > 清除瀏覽資料 立即清除瀏覽資料 「選擇要清除的項目」 > 所有時間 > 立即清除 ，若無法排除請更換瀏覽器。
2、MAC電腦：
      Safari開啟 > 上方選單Safari > 偏好設定 > 隱私權 >取消勾選「防止跨網站追蹤」> 選單上的網站 > 「內容阻擋器選項」> 選擇關閉",,,
"如何進行自選股上傳雲端與下載 多套軟體需同步自選股，登入時請使用完整的證券帳號登入再進行編輯與上傳。
一、金贏島
上傳自選股：點選上方主選單「紅綠箭頭」雲端自選股圖示>是>上傳至雲端資料庫>確定。
下載自選股：點選上方主選單「紅綠箭頭」雲端自選股圖示>是>從雲端資料庫下載>確定 。

二、金好探
上傳自選股：點選上方主選單「雲端自選」>上傳至雲端資料庫。
下載自選股：點選上方主選單「雲端自選」>從雲端資料庫下載。

三、e統金
首頁>點選上方主選單的看盤下單>報價畫面的「設定」>從雲端自選股匯入／匯出至雲端自選股。

四、e指發APP(舊版)新增編輯於雲端自選股一~六的自選股才可上傳雲端主機
上傳自選股：
首頁 >自選報價 >點選上方自選群組旁的向下箭頭>右上方「自選同步」>自選上傳>是。
下載自選股：
首頁 >自選報價 >點選上方自選群組旁的向下箭頭>右上方「自選同步」>自選下載>是 。

五、e指發APP(新版)新增編輯於雲端自選股一~六的自選股才可上傳雲端主機
上傳自選股：
首頁 >自選 >點選上方自選群組旁的向下箭頭>右上方「自選同步」>自選上傳>是。
下載自選股：
首頁 >自選 >點選上方自選群組旁的向下箭頭>右上方「自選同步」>自選下載>是 。

※注意事項
1.雲端自選股上傳可備分前六組自選群組內的前50檔商品。
2.其它交易平台若需進行同步，請以帳號登入。部分商品同步後若無法正確顯示商品名稱或報價，可能為商品代號不同，請在該交易系統搜尋商品手動加入即可。
3.移除重裝交易軟體或換新電腦時，可執行雲端自選股下載。
4.回復前次群組商品功能為還原從「雲端資料庫下載」前的本機自選股商品組合。",,,
"哪裡可以查詢交易平台說明 一、平台介紹
【點選下方連結進入證券官網>主選單「證券」>交易專區>平台介紹>平台比較，即可查看各交易平台功能介紹】
https://tinyurl.com/2xx7dpj8
二、常見問題
【點選下方連結進入證券官網>主選單「證券」>新手上路>常見問題】
https://tinyurl.com/mr3zjm7s",,,
"如何查詢盤中零股報價與下單? 各交易平台查詢盤中零股報價與下單方式：

1.【金贏島】：
   1.自選股報價畫面 > 選擇欲查詢的商品 >下方走勢圖的右邊選單選擇零股行情
   2.自選股報價畫面 > 上方選單「 報價」 >台股零股報價
2.【金好探】：
    報價畫面選擇欲查詢的商品 > 左下方走勢圖旁「報價」> 上方選擇零股
3.【e統金】：
   首頁 > 看盤下單 >上方選單「 看盤」 > 零股看盤
4.【e指發】：
    舊版首頁> 類股報價 > 零股專區 > 零股排行或自選報價商品
    新版首頁 >功能總覽 > 選股類 「零股自選」 > 零股排行或自選報價商品",,,
"安裝手機看盤規格建議 安裝手機看盤規格建議e指發APP：
一、iOS系統：iOS 11.0 或以上版本，請至App Store下載或下方載點：
https://tinyurl.com/3fk25rd3
二、Android系統：Android5.0以上版本，請至Play商店下載或下方載點：
https://tinyurl.com/yckjtj32",,,
"安裝電腦看盤規格建議 安裝電腦看盤規格建議金贏島/金好探/快易富：
微軟已不再提供XP與IE安全性更新，若繼續使用，可能面臨漏洞攻擊，建議改用WIN10含以上繁體中文作業系統與IE以外之主流瀏覽器登入看盤系統。(包含Edge/Chrome/Firefox/Safari)
一、微軟自2014年4月8日起不再支援WIN XP系統。
二、微軟自2022年6月15日起不再支援IE11。",,,
"安裝與登入看盤出現亂碼 安裝或登入看盤出現亂碼原因為電腦語系非繁體中文，請將語系設定為繁體中文後再重新安裝金贏島/金好探/快易富含「非Unicode程式的語言」。

一、設定電腦語系為繁體中文
步驟一、開啟「控制台」>地區?>系統管理>點選「格式」>格式欄位欄位點選「中文繁體台灣」。
步驟二、點選「系統管理」>變更系統地區設定>目前的系統地區設定點選「中文繁體，台灣」>確定>重開機>重裝看盤系統。

二、安裝看盤軟體
1.金贏島：
[【點選下方連結下載金贏島或進入證券官網>點選主選單「證券」>交易專區>平台介紹>點選「金贏島」圖示，依步驟進行安裝】]
https://tinyurl.com/yc3sskcy
2.金好探：
[【點選下方連結下載金好探或進入證券官網>點選主選單「證券」>交易專區>平台介紹>點選「金好探」圖示，依步驟進行安裝】]
https://tinyurl.com/3548sex5
3.快易富
[【點選下方連結下載或進入證券官網>下載專區>其它>快易赴，依步驟進行安裝】]
https://tinyurl.com/4j3v2yzv",,,
"定期存股交易說明 請點選下方連結觀看「定期存股交易」相關說明
一、【定期存股說明】
https://tinyurl.com/ynfze476
二、【定期存股標的】
https://tinyurl.com/2s3bp9n4
三、【定期存股常見問題】
https://tinyurl.com/yck987c4
四、定期存股系統
金贏島、e統金、行動裝置e指發APP皆可進行「定期存股」交易，【請點選下方連結進入官網 > 證券>交易專區>平台介紹>點選看盤圖示下載看盤交易系統】
https://tinyurl.com/2xx7dpj8",,,
"金贏島智慧單功能 金贏島智慧單：
請簽署證券「設定交易條件下單申請暨風險預告書 」 與期貨「其他委託方式風險預告書暨使用同意書 」，簽署生效後，即可使用金贏島智慧下單功能。
一、下載軟體
【點選下方連結下載或進入證券官網>點選主選單「證券」>交易專區>平台介紹>點選金贏島圖示，依步驟進行安裝】
https://tinyurl.com/yc3sskcy
二、功能說明
1.【智慧下單】教學說明：
https://tinyurl.com/munfzf95
2.【MIT觸價下單】教學說明： 
https://tinyurl.com/yc6akade
三、風險預告書簽署專區方式：
1. e指發APP(舊版)：
   首頁 > 統一專區>證券 >線上簽署 > 「設定交易條件下單申請暨風險預告書 」
   首頁 > 統一專區>期貨 >線上簽署 > 「其他委託方式風險預告書暨使用同意書 」
2. e指發APP(新版)：
   首頁 > 我的 > 證券線上簽署 > 「設定交易條件下單申請暨風險預告書 」
   首頁 > 我的 > 期貨線上簽署 > 「其他委託方式風險預告書暨使用同意書 」

※已簽署智慧下單風險預告書簽署後，金贏島智慧下單卻忽然無法執行此項功能，請結束或登出金贏島，重新登入後即可排除問題。若依照上述方式操作仍無法排除您的問題，請於營業日8:00~20:00洽客服專線02-81724668，由專人為您服務。",,,
"查詢交割銀行餘額 一、功能說明：
「台股銀行餘額查詢功能」提供中國信託、國泰世華、台新交割帳戶查詢銀行餘額。國泰世華用戶需攜帶原銀行存摺、印鑑、身分證至任何一家國泰世華銀行加簽「透過證券商網站查詢證券帳戶餘額服務約定書」，銀行端系統完成建檔後即生效，請登入本券商交易系統查詢交割銀行餘額。
二、常見問題：
Q1：國泰世華簽署「透過證券商網站查詢證券帳戶餘額服務約書」何時生效?
A1：簽署後，國泰世華櫃員於系統完成建檔，即生效。
Q2：交割銀行非設定中國信託、台新銀行、國泰世華或已設定為世華銀行但未簽署餘額查詢授權書，會出現什麼錯誤訊息?
A2：目前提供中信、國泰世華、台新交割帳戶查詢，請確認已簽署餘額查詢授權書。
Q3：客戶需開立中國信或國泰世華網路銀行才能使用本公司系統查詢交割帳戶餘額嗎?
A3：不須開立網路銀行即可查詢交割帳戶餘額。
Q4：法人戶與自然人帳戶是否都可以查詢?外國人帳戶是否可以查詢?
A4：可以查詢。
Q5：如何查詢是否已簽署「透過證券商網站查詢證券帳戶餘額服務約書」?
A5：因涉及客戶資料保密，券商端無法查詢簽署狀況，請帳戶本人洽銀行查詢。",,,
"看盤登入密碼 一、金贏島/金好探/e統金電腦
使用「網路密碼」登入。
二、e指發APP
請擇一方式登入，首次登入APP建議以1或2方式登入，以利同步變更語音和網路密碼
1.身分證與「網路密碼」「密碼類別」選擇?網路?
2.交易帳號與「網路密碼」「密碼類別」選擇?網路?
3.交易帳號與「語音密碼」「密碼類別」選擇?語音?",,,
"看盤雙因子認證 雙因子認證：
登入電腦或e指發APP交易系統除驗證密碼，增加檢核憑證，做為雙因子的必需因子
一、看盤中已有憑證，驗證帳號密碼通過後即可登入。
二、看盤中尚無憑證，可透過OTP機制申請。
三、看盤無有效憑證/無憑證，不提供登入看盤。

申請憑證
一、電腦看盤軟體請下載【憑證e總管】進行憑證申請
https://tinyurl.com/bvdtpnjk
電腦無法使用憑證e總管者，請登入【電子憑證網頁版】進行憑證申請
 https://pki.pscnet.com.tw/

二、財富管理交易網站：
https://nwmtrade.pscnet.com.tw/login.aspx
輸入帳號或身分證和交易密碼成功登入看盤，即可申請憑證。

三、e指發APP
【IOS系統】請至App Store下載  或下方載點：
https://tinyurl.com/3fk25rd3
【Android系統】請至Play商店下載  或下方載點：
https://tinyurl.com/yckjtj32
輸入帳號或身分證和交易密碼成功登入看盤，即可申請憑證。",,,
